字段,M0,M2,M2估计,见证
节点电价_114,0.48862585,0.7053474,0.6828611,负荷预测_区1 + 阻塞_A34
节点电价_109,0.48732245,0.70523334,0.6897497,负荷预测_区1 + 阻塞_A34
节点电价_123,0.47727764,0.70507634,0.68754447,负荷预测_区1 + 阻塞_A34
节点电价_103,0.49148062,0.7042897,0.6801044,负荷预测_区1 + 阻塞_A34
节点电价_223,0.46750817,0.702733,0.68920803,负荷预测_区1 + 阻塞_A34
节点电价_124,0.5013893,0.70212865,0.6773577,负荷预测_区1 + 阻塞_A34
节点电价_116,0.49409184,0.7017604,0.6753459,负荷预测_区1 + 阻塞_A34
节点电价_119,0.48695982,0.70124465,0.6822201,负荷预测_区1 + 阻塞_A34
节点电价_305,0.5187613,0.70020604,0.67299014,负荷预测_区1 + 阻塞_A34
节点电价_325,0.5112417,0.6993103,0.6757178,负荷预测_区1 + 阻塞_A34
节点电价_323,0.50638765,0.69660777,0.6745234,负荷预测_区1 + 阻塞_A34
节点电价_115,0.48520938,0.6958521,0.6713574,负荷预测_区1 + 阻塞_A34
节点电价_314,0.5130176,0.6938449,0.6701106,负荷预测_区1 + 阻塞_A34
节点电价_117,0.4811696,0.6930231,0.664485,负荷预测_区1 + 阻塞_A34
节点电价_118,0.48635393,0.69171244,0.66467214,负荷预测_区1 + 阻塞_A34
节点电价_306,0.50122255,0.6907998,0.6717171,负荷预测_区2 + 阻塞_C6
节点电价_310,0.5012026,0.689763,0.66241515,负荷预测_区2 + 阻塞_C6
节点电价_313,0.48781332,0.6891063,0.6656055,负荷预测_区2 + 阻塞_C6
节点电价_121,0.48001504,0.6885371,0.66651696,负荷预测_区1 + 阻塞_A34
节点电价_312,0.47353348,0.68839735,0.6681087,负荷预测_区2 + 阻塞_C6
节点电价_304,0.48902416,0.6879813,0.66369176,负荷预测_区2 + 阻塞_C6
节点电价_122,0.43225121,0.6879462,0.64713794,负荷预测_区1 + 阻塞_A34
节点电价_311,0.5048915,0.6878798,0.6707388,负荷预测_区2 + 阻塞_C6
节点电价_307,0.49542147,0.6867384,0.6603081,负荷预测_区2 + 阻塞_C6
节点电价_318,0.45469704,0.6616425,0.64013594,负荷预测_区1 + 阻塞_A34
节点电价_303,0.3568041,0.6450385,0.6263719,负荷预测_区2 + 阻塞_C6
屋顶光伏预测,0.5055238,0.59756875,0.5956681,风电出力预测 + 阻塞_C6
光伏出力预测,0.5060649,0.5850254,0.5849129,阻塞_C6
负荷预测_区1,0.0981555,0.345981,0.32972035,节点电价_212 + 阻塞_A34
调节上调需求,0.18165618,0.34109765,0.2885936,风电出力预测 + 旋转备用需求
负荷预测_区2,0.09194207,0.33226854,0.31541476,节点电价_212 + 阻塞_A34
调节下调需求,0.11849052,0.32267892,0.25020492,风电出力预测 + 旋转备用需求
旋转备用需求,0.06999397,0.30248052,0.295803,节点电价_212 + 阻塞_A34
风电出力预测,0.064285815,0.26513737,0.20788094,调节下调需求 + 旋转备用需求
负荷预测_区3,0.037629247,0.1672793,0.15067211,风电出力预测 + 节点电价_309
水电出力预测,0.07148957,0.15033484,0.1440775,风电出力预测 + 阻塞_C6
阻塞_CA-1,0.11098397,0.11802465,0.12071937,负荷预测_区3 + 阻塞_C6
阻塞_C6,0.020590901,0.11719346,0.20364219,节点电价_303 + 阻塞_C29
阻塞_CB-1,0.08029193,0.087041676,0.127873,水电出力预测
阻塞_C29,0.059017956,0.0819065,0.12865394,负荷预测_区1
阻塞_A34,0.0,0.0582498,0.10185897,节点电价_122 + 阻塞_A27
阻塞_A27,0.015781641,0.028047442,0.09013796,负荷预测_区2 + 负荷预测_区3
