output_field,dtype,unit,source_tier,source_key,official_report_name,queryname,version,market_run_id,official_raw_field,official_dimension_fields,original_cadence,hour_alignment_or_aggregation,official_entry_url,explanation_zh
actual_load__mw__epe,float64,MW,official CAISO OASIS,actual_load,Demand forecast / actual load,SLD_FCST,1.0,ACTUAL,MW,TAC_AREA_NAME,hourly,official hourly interval value,https://oasis.caiso.com/,CAISO 发布的 TAC 区域实际小时综合负荷。
actual_load__mw__ipco,float64,MW,official CAISO OASIS,actual_load,Demand forecast / actual load,SLD_FCST,1.0,ACTUAL,MW,TAC_AREA_NAME,hourly,official hourly interval value,https://oasis.caiso.com/,CAISO 发布的 TAC 区域实际小时综合负荷。
actual_load__mw__ladwp,float64,MW,official CAISO OASIS,actual_load,Demand forecast / actual load,SLD_FCST,1.0,ACTUAL,MW,TAC_AREA_NAME,hourly,official hourly interval value,https://oasis.caiso.com/,CAISO 发布的 TAC 区域实际小时综合负荷。
actual_load__mw__mwd_tac,float64,MW,official CAISO OASIS,actual_load,Demand forecast / actual load,SLD_FCST,1.0,ACTUAL,MW,TAC_AREA_NAME,hourly,official hourly interval value,https://oasis.caiso.com/,CAISO 发布的 TAC 区域实际小时综合负荷。
actual_load__mw__nevp,float64,MW,official CAISO OASIS,actual_load,Demand forecast / actual load,SLD_FCST,1.0,ACTUAL,MW,TAC_AREA_NAME,hourly,official hourly interval value,https://oasis.caiso.com/,CAISO 发布的 TAC 区域实际小时综合负荷。
actual_load__mw__nwmt,float64,MW,official CAISO OASIS,actual_load,Demand forecast / actual load,SLD_FCST,1.0,ACTUAL,MW,TAC_AREA_NAME,hourly,official hourly interval value,https://oasis.caiso.com/,CAISO 发布的 TAC 区域实际小时综合负荷。
actual_load__mw__pace,float64,MW,official CAISO OASIS,actual_load,Demand forecast / actual load,SLD_FCST,1.0,ACTUAL,MW,TAC_AREA_NAME,hourly,official hourly interval value,https://oasis.caiso.com/,CAISO 发布的 TAC 区域实际小时综合负荷。
actual_load__mw__pacw,float64,MW,official CAISO OASIS,actual_load,Demand forecast / actual load,SLD_FCST,1.0,ACTUAL,MW,TAC_AREA_NAME,hourly,official hourly interval value,https://oasis.caiso.com/,CAISO 发布的 TAC 区域实际小时综合负荷。
actual_load__mw__pge,float64,MW,official CAISO OASIS,actual_load,Demand forecast / actual load,SLD_FCST,1.0,ACTUAL,MW,TAC_AREA_NAME,hourly,official hourly interval value,https://oasis.caiso.com/,CAISO 发布的 TAC 区域实际小时综合负荷。
actual_load__mw__pge_tac,float64,MW,official CAISO OASIS,actual_load,Demand forecast / actual load,SLD_FCST,1.0,ACTUAL,MW,TAC_AREA_NAME,hourly,official hourly interval value,https://oasis.caiso.com/,CAISO 发布的 TAC 区域实际小时综合负荷。
actual_load__mw__pnm,float64,MW,official CAISO OASIS,actual_load,Demand forecast / actual load,SLD_FCST,1.0,ACTUAL,MW,TAC_AREA_NAME,hourly,official hourly interval value,https://oasis.caiso.com/,CAISO 发布的 TAC 区域实际小时综合负荷。
actual_load__mw__psei,float64,MW,official CAISO OASIS,actual_load,Demand forecast / actual load,SLD_FCST,1.0,ACTUAL,MW,TAC_AREA_NAME,hourly,official hourly interval value,https://oasis.caiso.com/,CAISO 发布的 TAC 区域实际小时综合负荷。
actual_load__mw__sce_tac,float64,MW,official CAISO OASIS,actual_load,Demand forecast / actual load,SLD_FCST,1.0,ACTUAL,MW,TAC_AREA_NAME,hourly,official hourly interval value,https://oasis.caiso.com/,CAISO 发布的 TAC 区域实际小时综合负荷。
actual_load__mw__scl,float64,MW,official CAISO OASIS,actual_load,Demand forecast / actual load,SLD_FCST,1.0,ACTUAL,MW,TAC_AREA_NAME,hourly,official hourly interval value,https://oasis.caiso.com/,CAISO 发布的 TAC 区域实际小时综合负荷。
actual_load__mw__sdge_tac,float64,MW,official CAISO OASIS,actual_load,Demand forecast / actual load,SLD_FCST,1.0,ACTUAL,MW,TAC_AREA_NAME,hourly,official hourly interval value,https://oasis.caiso.com/,CAISO 发布的 TAC 区域实际小时综合负荷。
actual_load__mw__srp,float64,MW,official CAISO OASIS,actual_load,Demand forecast / actual load,SLD_FCST,1.0,ACTUAL,MW,TAC_AREA_NAME,hourly,official hourly interval value,https://oasis.caiso.com/,CAISO 发布的 TAC 区域实际小时综合负荷。
actual_load__mw__tepc,float64,MW,official CAISO OASIS,actual_load,Demand forecast / actual load,SLD_FCST,1.0,ACTUAL,MW,TAC_AREA_NAME,hourly,official hourly interval value,https://oasis.caiso.com/,CAISO 发布的 TAC 区域实际小时综合负荷。
actual_load__mw__tidc,float64,MW,official CAISO OASIS,actual_load,Demand forecast / actual load,SLD_FCST,1.0,ACTUAL,MW,TAC_AREA_NAME,hourly,official hourly interval value,https://oasis.caiso.com/,CAISO 发布的 TAC 区域实际小时综合负荷。
actual_load__mw__tpwr,float64,MW,official CAISO OASIS,actual_load,Demand forecast / actual load,SLD_FCST,1.0,ACTUAL,MW,TAC_AREA_NAME,hourly,official hourly interval value,https://oasis.caiso.com/,CAISO 发布的 TAC 区域实际小时综合负荷。
actual_load__mw__vea_tac,float64,MW,official CAISO OASIS,actual_load,Demand forecast / actual load,SLD_FCST,1.0,ACTUAL,MW,TAC_AREA_NAME,hourly,official hourly interval value,https://oasis.caiso.com/,CAISO 发布的 TAC 区域实际小时综合负荷。
actual_load__mw__walc,float64,MW,official CAISO OASIS,actual_load,Demand forecast / actual load,SLD_FCST,1.0,ACTUAL,MW,TAC_AREA_NAME,hourly,official hourly interval value,https://oasis.caiso.com/,CAISO 发布的 TAC 区域实际小时综合负荷。
actual_load__mw__walcaepco,float64,MW,official CAISO OASIS,actual_load,Demand forecast / actual load,SLD_FCST,1.0,ACTUAL,MW,TAC_AREA_NAME,hourly,official hourly interval value,https://oasis.caiso.com/,CAISO 发布的 TAC 区域实际小时综合负荷。
actual_load__mw__walcdsw,float64,MW,official CAISO OASIS,actual_load,Demand forecast / actual load,SLD_FCST,1.0,ACTUAL,MW,TAC_AREA_NAME,hourly,official hourly interval value,https://oasis.caiso.com/,CAISO 发布的 TAC 区域实际小时综合负荷。
dam_load_forecast__mw__ava,float64,MW,official CAISO OASIS,dam_load,Demand forecast,SLD_FCST,1.0,DAM,MW,TAC_AREA_NAME,hourly,official DAM hourly interval value,https://oasis.caiso.com/,CAISO 日前市场负荷预测。
dam_load_forecast__mw__avrn,float64,MW,official CAISO OASIS,dam_load,Demand forecast,SLD_FCST,1.0,DAM,MW,TAC_AREA_NAME,hourly,official DAM hourly interval value,https://oasis.caiso.com/,CAISO 日前市场负荷预测。
dam_load_forecast__mw__azps,float64,MW,official CAISO OASIS,dam_load,Demand forecast,SLD_FCST,1.0,DAM,MW,TAC_AREA_NAME,hourly,official DAM hourly interval value,https://oasis.caiso.com/,CAISO 日前市场负荷预测。
dam_load_forecast__mw__banc,float64,MW,official CAISO OASIS,dam_load,Demand forecast,SLD_FCST,1.0,DAM,MW,TAC_AREA_NAME,hourly,official DAM hourly interval value,https://oasis.caiso.com/,CAISO 日前市场负荷预测。
dam_load_forecast__mw__bancmid,float64,MW,official CAISO OASIS,dam_load,Demand forecast,SLD_FCST,1.0,DAM,MW,TAC_AREA_NAME,hourly,official DAM hourly interval value,https://oasis.caiso.com/,CAISO 日前市场负荷预测。
dam_load_forecast__mw__bancrdng,float64,MW,official CAISO OASIS,dam_load,Demand forecast,SLD_FCST,1.0,DAM,MW,TAC_AREA_NAME,hourly,official DAM hourly interval value,https://oasis.caiso.com/,CAISO 日前市场负荷预测。
dam_load_forecast__mw__bancrsvl,float64,MW,official CAISO OASIS,dam_load,Demand forecast,SLD_FCST,1.0,DAM,MW,TAC_AREA_NAME,hourly,official DAM hourly interval value,https://oasis.caiso.com/,CAISO 日前市场负荷预测。
dam_load_forecast__mw__bancsmud,float64,MW,official CAISO OASIS,dam_load,Demand forecast,SLD_FCST,1.0,DAM,MW,TAC_AREA_NAME,hourly,official DAM hourly interval value,https://oasis.caiso.com/,CAISO 日前市场负荷预测。
dam_load_forecast__mw__bancwasn,float64,MW,official CAISO OASIS,dam_load,Demand forecast,SLD_FCST,1.0,DAM,MW,TAC_AREA_NAME,hourly,official DAM hourly interval value,https://oasis.caiso.com/,CAISO 日前市场负荷预测。
dam_load_forecast__mw__bpat,float64,MW,official CAISO OASIS,dam_load,Demand forecast,SLD_FCST,1.0,DAM,MW,TAC_AREA_NAME,hourly,official DAM hourly interval value,https://oasis.caiso.com/,CAISO 日前市场负荷预测。
dam_load_forecast__mw__ca_iso_tac,float64,MW,official CAISO OASIS,dam_load,Demand forecast,SLD_FCST,1.0,DAM,MW,TAC_AREA_NAME,hourly,official DAM hourly interval value,https://oasis.caiso.com/,CAISO 日前市场负荷预测。
dam_load_forecast__mw__epe,float64,MW,official CAISO OASIS,dam_load,Demand forecast,SLD_FCST,1.0,DAM,MW,TAC_AREA_NAME,hourly,official DAM hourly interval value,https://oasis.caiso.com/,CAISO 日前市场负荷预测。
dam_load_forecast__mw__ipco,float64,MW,official CAISO OASIS,dam_load,Demand forecast,SLD_FCST,1.0,DAM,MW,TAC_AREA_NAME,hourly,official DAM hourly interval value,https://oasis.caiso.com/,CAISO 日前市场负荷预测。
dam_load_forecast__mw__ladwp,float64,MW,official CAISO OASIS,dam_load,Demand forecast,SLD_FCST,1.0,DAM,MW,TAC_AREA_NAME,hourly,official DAM hourly interval value,https://oasis.caiso.com/,CAISO 日前市场负荷预测。
dam_load_forecast__mw__mwd_tac,float64,MW,official CAISO OASIS,dam_load,Demand forecast,SLD_FCST,1.0,DAM,MW,TAC_AREA_NAME,hourly,official DAM hourly interval value,https://oasis.caiso.com/,CAISO 日前市场负荷预测。
dam_load_forecast__mw__nevp,float64,MW,official CAISO OASIS,dam_load,Demand forecast,SLD_FCST,1.0,DAM,MW,TAC_AREA_NAME,hourly,official DAM hourly interval value,https://oasis.caiso.com/,CAISO 日前市场负荷预测。
dam_load_forecast__mw__nwmt,float64,MW,official CAISO OASIS,dam_load,Demand forecast,SLD_FCST,1.0,DAM,MW,TAC_AREA_NAME,hourly,official DAM hourly interval value,https://oasis.caiso.com/,CAISO 日前市场负荷预测。
dam_load_forecast__mw__pace,float64,MW,official CAISO OASIS,dam_load,Demand forecast,SLD_FCST,1.0,DAM,MW,TAC_AREA_NAME,hourly,official DAM hourly interval value,https://oasis.caiso.com/,CAISO 日前市场负荷预测。
dam_load_forecast__mw__pacw,float64,MW,official CAISO OASIS,dam_load,Demand forecast,SLD_FCST,1.0,DAM,MW,TAC_AREA_NAME,hourly,official DAM hourly interval value,https://oasis.caiso.com/,CAISO 日前市场负荷预测。
dam_load_forecast__mw__pge,float64,MW,official CAISO OASIS,dam_load,Demand forecast,SLD_FCST,1.0,DAM,MW,TAC_AREA_NAME,hourly,official DAM hourly interval value,https://oasis.caiso.com/,CAISO 日前市场负荷预测。
dam_load_forecast__mw__pge_tac,float64,MW,official CAISO OASIS,dam_load,Demand forecast,SLD_FCST,1.0,DAM,MW,TAC_AREA_NAME,hourly,official DAM hourly interval value,https://oasis.caiso.com/,CAISO 日前市场负荷预测。
dam_load_forecast__mw__pnm,float64,MW,official CAISO OASIS,dam_load,Demand forecast,SLD_FCST,1.0,DAM,MW,TAC_AREA_NAME,hourly,official DAM hourly interval value,https://oasis.caiso.com/,CAISO 日前市场负荷预测。
dam_load_forecast__mw__psei,float64,MW,official CAISO OASIS,dam_load,Demand forecast,SLD_FCST,1.0,DAM,MW,TAC_AREA_NAME,hourly,official DAM hourly interval value,https://oasis.caiso.com/,CAISO 日前市场负荷预测。
dam_load_forecast__mw__sce_tac,float64,MW,official CAISO OASIS,dam_load,Demand forecast,SLD_FCST,1.0,DAM,MW,TAC_AREA_NAME,hourly,official DAM hourly interval value,https://oasis.caiso.com/,CAISO 日前市场负荷预测。
dam_load_forecast__mw__scl,float64,MW,official CAISO OASIS,dam_load,Demand forecast,SLD_FCST,1.0,DAM,MW,TAC_AREA_NAME,hourly,official DAM hourly interval value,https://oasis.caiso.com/,CAISO 日前市场负荷预测。
dam_load_forecast__mw__sdge_tac,float64,MW,official CAISO OASIS,dam_load,Demand forecast,SLD_FCST,1.0,DAM,MW,TAC_AREA_NAME,hourly,official DAM hourly interval value,https://oasis.caiso.com/,CAISO 日前市场负荷预测。
dam_load_forecast__mw__srp,float64,MW,official CAISO OASIS,dam_load,Demand forecast,SLD_FCST,1.0,DAM,MW,TAC_AREA_NAME,hourly,official DAM hourly interval value,https://oasis.caiso.com/,CAISO 日前市场负荷预测。
dam_load_forecast__mw__tepc,float64,MW,official CAISO OASIS,dam_load,Demand forecast,SLD_FCST,1.0,DAM,MW,TAC_AREA_NAME,hourly,official DAM hourly interval value,https://oasis.caiso.com/,CAISO 日前市场负荷预测。
dam_load_forecast__mw__tidc,float64,MW,official CAISO OASIS,dam_load,Demand forecast,SLD_FCST,1.0,DAM,MW,TAC_AREA_NAME,hourly,official DAM hourly interval value,https://oasis.caiso.com/,CAISO 日前市场负荷预测。
dam_load_forecast__mw__tpwr,float64,MW,official CAISO OASIS,dam_load,Demand forecast,SLD_FCST,1.0,DAM,MW,TAC_AREA_NAME,hourly,official DAM hourly interval value,https://oasis.caiso.com/,CAISO 日前市场负荷预测。
dam_load_forecast__mw__vea_tac,float64,MW,official CAISO OASIS,dam_load,Demand forecast,SLD_FCST,1.0,DAM,MW,TAC_AREA_NAME,hourly,official DAM hourly interval value,https://oasis.caiso.com/,CAISO 日前市场负荷预测。
dam_load_forecast__mw__walc,float64,MW,official CAISO OASIS,dam_load,Demand forecast,SLD_FCST,1.0,DAM,MW,TAC_AREA_NAME,hourly,official DAM hourly interval value,https://oasis.caiso.com/,CAISO 日前市场负荷预测。
dam_load_forecast__mw__walcaepco,float64,MW,official CAISO OASIS,dam_load,Demand forecast,SLD_FCST,1.0,DAM,MW,TAC_AREA_NAME,hourly,official DAM hourly interval value,https://oasis.caiso.com/,CAISO 日前市场负荷预测。
dam_load_forecast__mw__walcdsw,float64,MW,official CAISO OASIS,dam_load,Demand forecast,SLD_FCST,1.0,DAM,MW,TAC_AREA_NAME,hourly,official DAM hourly interval value,https://oasis.caiso.com/,CAISO 日前市场负荷预测。
actual_renewable_generation__mw__np15__solar,float64,MW,official CAISO OASIS,actual_renew,Renewable forecast / actual generation,SLD_REN_FCST,1.0,ACTUAL,MW,TRADING_HUB + RENEWABLE_TYPE,hourly,official hourly interval value,https://oasis.caiso.com/,交易枢纽×风/光类别实际发电。
actual_renewable_generation__mw__np15__wind,float64,MW,official CAISO OASIS,actual_renew,Renewable forecast / actual generation,SLD_REN_FCST,1.0,ACTUAL,MW,TRADING_HUB + RENEWABLE_TYPE,hourly,official hourly interval value,https://oasis.caiso.com/,交易枢纽×风/光类别实际发电。
actual_renewable_generation__mw__sp15__solar,float64,MW,official CAISO OASIS,actual_renew,Renewable forecast / actual generation,SLD_REN_FCST,1.0,ACTUAL,MW,TRADING_HUB + RENEWABLE_TYPE,hourly,official hourly interval value,https://oasis.caiso.com/,交易枢纽×风/光类别实际发电。
actual_renewable_generation__mw__sp15__wind,float64,MW,official CAISO OASIS,actual_renew,Renewable forecast / actual generation,SLD_REN_FCST,1.0,ACTUAL,MW,TRADING_HUB + RENEWABLE_TYPE,hourly,official hourly interval value,https://oasis.caiso.com/,交易枢纽×风/光类别实际发电。
actual_renewable_generation__mw__zp26__solar,float64,MW,official CAISO OASIS,actual_renew,Renewable forecast / actual generation,SLD_REN_FCST,1.0,ACTUAL,MW,TRADING_HUB + RENEWABLE_TYPE,hourly,official hourly interval value,https://oasis.caiso.com/,交易枢纽×风/光类别实际发电。
actual_renewable_generation__mw__zp26__wind,float64,MW,official CAISO OASIS,actual_renew,Renewable forecast / actual generation,SLD_REN_FCST,1.0,ACTUAL,MW,TRADING_HUB + RENEWABLE_TYPE,hourly,official hourly interval value,https://oasis.caiso.com/,交易枢纽×风/光类别实际发电。
dam_renewable_forecast__mw__np15__solar,float64,MW,official CAISO OASIS,dam_renew,Renewable forecast,SLD_REN_FCST,1.0,DAM,MW,TRADING_HUB + RENEWABLE_TYPE,hourly,official DAM hourly interval value,https://oasis.caiso.com/,日前交易枢纽×风/光类别预测。
dam_renewable_forecast__mw__np15__wind,float64,MW,official CAISO OASIS,dam_renew,Renewable forecast,SLD_REN_FCST,1.0,DAM,MW,TRADING_HUB + RENEWABLE_TYPE,hourly,official DAM hourly interval value,https://oasis.caiso.com/,日前交易枢纽×风/光类别预测。
dam_renewable_forecast__mw__sp15__solar,float64,MW,official CAISO OASIS,dam_renew,Renewable forecast,SLD_REN_FCST,1.0,DAM,MW,TRADING_HUB + RENEWABLE_TYPE,hourly,official DAM hourly interval value,https://oasis.caiso.com/,日前交易枢纽×风/光类别预测。
dam_renewable_forecast__mw__sp15__wind,float64,MW,official CAISO OASIS,dam_renew,Renewable forecast,SLD_REN_FCST,1.0,DAM,MW,TRADING_HUB + RENEWABLE_TYPE,hourly,official DAM hourly interval value,https://oasis.caiso.com/,日前交易枢纽×风/光类别预测。
dam_renewable_forecast__mw__zp26__solar,float64,MW,official CAISO OASIS,dam_renew,Renewable forecast,SLD_REN_FCST,1.0,DAM,MW,TRADING_HUB + RENEWABLE_TYPE,hourly,official DAM hourly interval value,https://oasis.caiso.com/,日前交易枢纽×风/光类别预测。
dam_renewable_forecast__mw__zp26__wind,float64,MW,official CAISO OASIS,dam_renew,Renewable forecast,SLD_REN_FCST,1.0,DAM,MW,TRADING_HUB + RENEWABLE_TYPE,hourly,official DAM hourly interval value,https://oasis.caiso.com/,日前交易枢纽×风/光类别预测。
dam_lmp__congestion_usd_per_mwh__th_np15_gen_apnd,float64,$/MWh,official CAISO OASIS,dam_lmp,Day-ahead LMP,PRC_LMP,12.0,DAM,MW,NODE + LMP_TYPE,hourly,official DAM hourly interval value,https://oasis.caiso.com/,三个 CAISO 交易枢纽的 LMP 总价及官方分量。
dam_lmp__congestion_usd_per_mwh__th_sp15_gen_apnd,float64,$/MWh,official CAISO OASIS,dam_lmp,Day-ahead LMP,PRC_LMP,12.0,DAM,MW,NODE + LMP_TYPE,hourly,official DAM hourly interval value,https://oasis.caiso.com/,三个 CAISO 交易枢纽的 LMP 总价及官方分量。
dam_lmp__congestion_usd_per_mwh__th_zp26_gen_apnd,float64,$/MWh,official CAISO OASIS,dam_lmp,Day-ahead LMP,PRC_LMP,12.0,DAM,MW,NODE + LMP_TYPE,hourly,official DAM hourly interval value,https://oasis.caiso.com/,三个 CAISO 交易枢纽的 LMP 总价及官方分量。
dam_lmp__energy_usd_per_mwh__th_np15_gen_apnd,float64,$/MWh,official CAISO OASIS,dam_lmp,Day-ahead LMP,PRC_LMP,12.0,DAM,MW,NODE + LMP_TYPE,hourly,official DAM hourly interval value,https://oasis.caiso.com/,三个 CAISO 交易枢纽的 LMP 总价及官方分量。
dam_lmp__energy_usd_per_mwh__th_sp15_gen_apnd,float64,$/MWh,official CAISO OASIS,dam_lmp,Day-ahead LMP,PRC_LMP,12.0,DAM,MW,NODE + LMP_TYPE,hourly,official DAM hourly interval value,https://oasis.caiso.com/,三个 CAISO 交易枢纽的 LMP 总价及官方分量。
dam_lmp__energy_usd_per_mwh__th_zp26_gen_apnd,float64,$/MWh,official CAISO OASIS,dam_lmp,Day-ahead LMP,PRC_LMP,12.0,DAM,MW,NODE + LMP_TYPE,hourly,official DAM hourly interval value,https://oasis.caiso.com/,三个 CAISO 交易枢纽的 LMP 总价及官方分量。
dam_lmp__ghg_usd_per_mwh__th_np15_gen_apnd,float64,$/MWh,official CAISO OASIS,dam_lmp,Day-ahead LMP,PRC_LMP,12.0,DAM,MW,NODE + LMP_TYPE,hourly,official DAM hourly interval value,https://oasis.caiso.com/,三个 CAISO 交易枢纽的 LMP 总价及官方分量。
dam_lmp__ghg_usd_per_mwh__th_sp15_gen_apnd,float64,$/MWh,official CAISO OASIS,dam_lmp,Day-ahead LMP,PRC_LMP,12.0,DAM,MW,NODE + LMP_TYPE,hourly,official DAM hourly interval value,https://oasis.caiso.com/,三个 CAISO 交易枢纽的 LMP 总价及官方分量。
dam_lmp__ghg_usd_per_mwh__th_zp26_gen_apnd,float64,$/MWh,official CAISO OASIS,dam_lmp,Day-ahead LMP,PRC_LMP,12.0,DAM,MW,NODE + LMP_TYPE,hourly,official DAM hourly interval value,https://oasis.caiso.com/,三个 CAISO 交易枢纽的 LMP 总价及官方分量。
dam_lmp__lmp_usd_per_mwh__th_np15_gen_apnd,float64,$/MWh,official CAISO OASIS,dam_lmp,Day-ahead LMP,PRC_LMP,12.0,DAM,MW,NODE + LMP_TYPE,hourly,official DAM hourly interval value,https://oasis.caiso.com/,三个 CAISO 交易枢纽的 LMP 总价及官方分量。
dam_lmp__lmp_usd_per_mwh__th_sp15_gen_apnd,float64,$/MWh,official CAISO OASIS,dam_lmp,Day-ahead LMP,PRC_LMP,12.0,DAM,MW,NODE + LMP_TYPE,hourly,official DAM hourly interval value,https://oasis.caiso.com/,三个 CAISO 交易枢纽的 LMP 总价及官方分量。
dam_lmp__lmp_usd_per_mwh__th_zp26_gen_apnd,float64,$/MWh,official CAISO OASIS,dam_lmp,Day-ahead LMP,PRC_LMP,12.0,DAM,MW,NODE + LMP_TYPE,hourly,official DAM hourly interval value,https://oasis.caiso.com/,三个 CAISO 交易枢纽的 LMP 总价及官方分量。
dam_lmp__loss_usd_per_mwh__th_np15_gen_apnd,float64,$/MWh,official CAISO OASIS,dam_lmp,Day-ahead LMP,PRC_LMP,12.0,DAM,MW,NODE + LMP_TYPE,hourly,official DAM hourly interval value,https://oasis.caiso.com/,三个 CAISO 交易枢纽的 LMP 总价及官方分量。
dam_lmp__loss_usd_per_mwh__th_sp15_gen_apnd,float64,$/MWh,official CAISO OASIS,dam_lmp,Day-ahead LMP,PRC_LMP,12.0,DAM,MW,NODE + LMP_TYPE,hourly,official DAM hourly interval value,https://oasis.caiso.com/,三个 CAISO 交易枢纽的 LMP 总价及官方分量。
dam_lmp__loss_usd_per_mwh__th_zp26_gen_apnd,float64,$/MWh,official CAISO OASIS,dam_lmp,Day-ahead LMP,PRC_LMP,12.0,DAM,MW,NODE + LMP_TYPE,hourly,official DAM hourly interval value,https://oasis.caiso.com/,三个 CAISO 交易枢纽的 LMP 总价及官方分量。
rt15_lmp_hourly_mean__congestion_usd_per_mwh__th_np15_gen_apnd,float64,$/MWh,official CAISO OASIS,rt15_lmp,Fifteen-minute market LMP,PRC_RTPD_LMP,3.0,RTPD,PRC,NODE + LMP_TYPE,15 minutes,arithmetic UTC-hour mean only when all four quarter-hours exist,https://oasis.caiso.com/,三个 CAISO 交易枢纽的 LMP 总价及官方分量。
rt15_lmp_hourly_mean__congestion_usd_per_mwh__th_sp15_gen_apnd,float64,$/MWh,official CAISO OASIS,rt15_lmp,Fifteen-minute market LMP,PRC_RTPD_LMP,3.0,RTPD,PRC,NODE + LMP_TYPE,15 minutes,arithmetic UTC-hour mean only when all four quarter-hours exist,https://oasis.caiso.com/,三个 CAISO 交易枢纽的 LMP 总价及官方分量。
rt15_lmp_hourly_mean__congestion_usd_per_mwh__th_zp26_gen_apnd,float64,$/MWh,official CAISO OASIS,rt15_lmp,Fifteen-minute market LMP,PRC_RTPD_LMP,3.0,RTPD,PRC,NODE + LMP_TYPE,15 minutes,arithmetic UTC-hour mean only when all four quarter-hours exist,https://oasis.caiso.com/,三个 CAISO 交易枢纽的 LMP 总价及官方分量。
rt15_lmp_hourly_mean__energy_usd_per_mwh__th_np15_gen_apnd,float64,$/MWh,official CAISO OASIS,rt15_lmp,Fifteen-minute market LMP,PRC_RTPD_LMP,3.0,RTPD,PRC,NODE + LMP_TYPE,15 minutes,arithmetic UTC-hour mean only when all four quarter-hours exist,https://oasis.caiso.com/,三个 CAISO 交易枢纽的 LMP 总价及官方分量。
